merchant_pid,ean,brand,title,description,url,image_url,price_gbp,in_stock,captured_on
BPB-MAGB-500T-0060,5060343744486,Bulk,Magnesium Bisglycinate Tablets - 60 Tablets,"Directions: Take 2 tablets per day, spaced evenly apart and ideally with food. || Ingredients: Magnesium Bisglycinate, Bulking Agents (Microcrystalline Cellulose, Di-Calcium Phosphate), Anti-Caking Agents (Silicon Dioxide, Magnesium Stearate), Glazing Agents (Hydroxypropyl Methyl Cellulose, Glycerol). | Suitable For | Halal, Vegan, Vegetarian, GLP1-Friendly* || Nutrition: Active Ingredients | [Ingredient ; Per Serving (2 Tablets) ; Reference Intake of an average adult (%)] | [Magnesium Bisglycinate ; 1000 mg] | [of which Magnesium ; 200 mg ; 53]",https://www.bulk.com/uk/products/magnesium-bisglycinate-tablets/bpb-magb-0000,https://www.bulk.com/media/catalog/product/m/a/magnesium_bisglycinate_main_image_1_UK_17cd.jpg,5.99,1,2026-09-17
BPB-MAGB-500T-0180,5060343744493,Bulk,Magnesium Bisglycinate Tablets - 180 Tablets,"Directions: Take 2 tablets per day, spaced evenly apart and ideally with food. || Ingredients: Magnesium Bisglycinate, Bulking Agents (Microcrystalline Cellulose, Di-Calcium Phosphate), Anti-Caking Agents (Silicon Dioxide, Magnesium Stearate), Glazing Agents (Hydroxypropyl Methyl Cellulose, Glycerol). | Suitable For | Halal, Vegan, Vegetarian, GLP1-Friendly* || Nutrition: Active Ingredients | [Ingredient ; Per Serving (2 Tablets) ; Reference Intake of an average adult (%)] | [Magnesium Bisglycinate ; 1000 mg] | [of which Magnesium ; 200 mg ; 53]",https://www.bulk.com/uk/products/magnesium-bisglycinate-tablets/bpb-magb-0000,https://www.bulk.com/media/catalog/product/m/a/magnesium_bisglycinate_main_image_1_UK_17cd.jpg,14.99,1,2026-09-17
BPB-VD3T-5000-0090,5060343744011,Bulk,Vitamin D3 Tablets - 90 Tablets,"Directions: Take 1 tablet per day, ideally with food. || Ingredients: Bulking Agents (Calcium Carbonate, Microcrystalline Cellulose), Vitamin D3 Preparation (Maltodextrin, Starch, Sucrose, Cholecalciferol), Anti-Caking Agent (Magnesium Stearate). | Suitable For | Vegetarian, Halal, GLP1-Friendly* || Nutrition: Active Ingredients | [Ingredient ; Per Serving (1 Tablet) ; Reference Intake of an average adult (%)] | [Vitamin D3 (Cholecalciferol) ; 100μg ; 2000]",https://www.bulk.com/uk/products/vitamin-d3-tablets/bpb-vd3t-0000,https://www.bulk.com/media/catalog/product/B/P/BPB_VD3T_5000_Main_Image_eae5.jpg,5.99,1,2026-09-17
BPB-VD3T-5000-0270,5060343744028,Bulk,Vitamin D3 Tablets - 270 Tablets,"Directions: Take 1 tablet per day, ideally with food. || Ingredients: Bulking Agents (Calcium Carbonate, Microcrystalline Cellulose), Vitamin D3 Preparation (Maltodextrin, Starch, Sucrose, Cholecalciferol), Anti-Caking Agent (Magnesium Stearate). | Suitable For | Vegetarian, Halal, GLP1-Friendly* || Nutrition: Active Ingredients | [Ingredient ; Per Serving (1 Tablet) ; Reference Intake of an average adult (%)] | [Vitamin D3 (Cholecalciferol) ; 100μg ; 2000]",https://www.bulk.com/uk/products/vitamin-d3-tablets/bpb-vd3t-0000,https://www.bulk.com/media/catalog/product/B/P/BPB_VD3T_5000_Main_Image_eae5.jpg,14.49,1,2026-09-17
BPB-KS66-0500-0030,5055950621077,Bulk,KSM Ashwagandha Capsules - 30 Capsules,"Directions: Consume 1 capsules per day, with food. || Ingredients: KSM-66® Ashwagandha Root Extract, Capsule Shell (Hydroxypropyl Methyl Cellulose), Bulking Agent (Microcrystalline Cellulose), Anti-Caking Agents (Tricalcium Phosphate, Magnesium Stearate). | Suitable For | Halal, Vegan, Vegetarian || Nutrition: Active Ingredients | [Ingredient ; Per Serving (1 Capsule)] | [KSM-66® Ashwagandha ; 500mg (5% Withanolides)]",https://www.bulk.com/uk/products/ashwagandha-capsules/bpb-ks66-0500,https://www.bulk.com/media/catalog/product/B/P/BPB_KS66_0500__1__93f2.jpg,7.99,1,2026-09-17
BPB-KS66-0500-0090,5055950612891,Bulk,KSM Ashwagandha Capsules - 90 Capsules,"Directions: Consume 1 capsules per day, with food. || Ingredients: KSM-66® Ashwagandha Root Extract, Capsule Shell (Hydroxypropyl Methyl Cellulose), Bulking Agent (Microcrystalline Cellulose), Anti-Caking Agents (Tricalcium Phosphate, Magnesium Stearate). | Suitable For | Halal, Vegan, Vegetarian || Nutrition: Active Ingredients | [Ingredient ; Per Serving (1 Capsule)] | [KSM-66® Ashwagandha ; 500mg (5% Withanolides)]",https://www.bulk.com/uk/products/ashwagandha-capsules/bpb-ks66-0500,https://www.bulk.com/media/catalog/product/B/P/BPB_KS66_0500__1__93f2.jpg,17.99,1,2026-09-17
BPB-VB12-1000-0060,5060343746695,Bulk,Vitamin B12 Tablets 1000mcg - 60 Tablets,"Directions: Take 1 tablet per day, preferably with food. || Ingredients: Bulking Agents (Dicalcium Phosphate, Microcrystalline Cellulose), Anti-Caking Agents (Magnesium Stearate, Silicon Dioxide), Vitamin B12 (Methylcobalamin). | Suitable For | GLP1-Friendly*, Halal, Vegetarian, Vegan || Nutrition: Active Ingredients | [Ingredient ; Per Serving (1 Tablet) ; Reference Intake of an average adult (%)] | [Vitamin B12 ; 1000μg (Methylcobalamin) ; 40000]",https://www.bulk.com/uk/products/vitamin-b12-tablets-1000-mcg/bpb-vb12-0000,https://www.bulk.com/media/catalog/product/B/P/BPB_VB12_1000_Main_Image_2c3b.jpg,2.49,1,2026-09-17
BPB-VB12-1000-0180,5060343746701,Bulk,Vitamin B12 Tablets 1000mcg - 180 Tablets,"Directions: Take 1 tablet per day, preferably with food. || Ingredients: Bulking Agents (Dicalcium Phosphate, Microcrystalline Cellulose), Anti-Caking Agents (Magnesium Stearate, Silicon Dioxide), Vitamin B12 (Methylcobalamin). | Suitable For | GLP1-Friendly*, Halal, Vegetarian, Vegan || Nutrition: Active Ingredients | [Ingredient ; Per Serving (1 Tablet) ; Reference Intake of an average adult (%)] | [Vitamin B12 ; 1000μg (Methylcobalamin) ; 40000]",https://www.bulk.com/uk/products/vitamin-b12-tablets-1000-mcg/bpb-vb12-0000,https://www.bulk.com/media/catalog/product/B/P/BPB_VB12_1000_Main_Image_2c3b.jpg,4.99,1,2026-09-17
BPB-OZIN-0030-0090,5060343745315,Bulk,OptiZinc Tablets - 90 Tablets,"Directions: Take 1 tablet per day, ideally with food. || Ingredients: Bulking Agents (Microcrystalline Cellulose, Dicalcium Phosphate), Zinc Monomethionine (OptiZinc®), Anti-Caking Agent (Magnesium Stearate). | Suitable For | Vegetarian, Vegan, Halal || Nutrition: Active Ingredients | [Ingredient ; Per Serving (1 Tablet) ; Reference Intake of an average adult (%)] | [Zinc ; 6 mg ; 60]",https://www.bulk.com/uk/products/optizinc-tablets/bpb-ozin-0000,https://www.bulk.com/media/catalog/product/B/P/BPB_OZIN_0030_Main_Image_fbfa.jpg,6.99,1,2026-09-17
BPB-OZIN-0030-0270,5060343745322,Bulk,OptiZinc Tablets - 270 Tablets,"Directions: Take 1 tablet per day, ideally with food. || Ingredients: Bulking Agents (Microcrystalline Cellulose, Dicalcium Phosphate), Zinc Monomethionine (OptiZinc®), Anti-Caking Agent (Magnesium Stearate). | Suitable For | Vegetarian, Vegan, Halal || Nutrition: Active Ingredients | [Ingredient ; Per Serving (1 Tablet) ; Reference Intake of an average adult (%)] | [Zinc ; 6 mg ; 60]",https://www.bulk.com/uk/products/optizinc-tablets/bpb-ozin-0000,https://www.bulk.com/media/catalog/product/B/P/BPB_OZIN_0030_Main_Image_fbfa.jpg,17.49,1,2026-09-17
